City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
389,tralee,52.2704,-9.7026,14.14,51,40,3.6,IE,1746364337
390,sanya,18.2431,109.505,27.0,89,95,1.67,CN,1746364338
391,kaedi,16.1465,-13.5047,40.35,16,2,5.73,MR,1746364339
392,luderitz,-26.6481,15.1594,25.44,33,0,2.17,NA,1746364340
393,valparaiso,-33.0393,-71.6273,16.11,55,100,3.69,CL,1746364167
394,sandnessjoen,66.0217,12.6316,5.23,60,75,2.06,NO,1746364342
395,port moresby,-9.4431,147.1797,26.18,88,42,1.12,PG,1746364287
396,saudarkrokur,65.7461,-19.6394,10.56,63,100,6.91,IS,1746364344
397,magadan,59.5667,150.8,-0.86,78,100,11.12,RU,1746364345
398,la'ie,21.6477,-157.9253,23.98,80,32,4.02,US,1746364347
399,anton lizardo,19.05,-95.9833,25.68,74,21,3.0,MX,1746364349
400,callao,-12.0667,-77.15,20.95,88,75,2.57,PE,1746364239
401,kachug,53.9606,105.8817,9.46,43,97,2.39,RU,1746364351
402,bengkulu,-3.8004,102.2655,26.38,80,59,0.52,ID,1746364293
403,waitara,-38.925,174.25,8.33,72,0,5.28,NZ,1746364355
404,fort mcmurray,56.7268,-111.381,8.73,93,100,5.66,CA,1746364356
405,vila velha,-20.3297,-40.2925,22.97,83,75,2.57,BR,1746364066
406,vorkuta,67.5,64.0,1.4,88,100,4.19,RU,1746364358
407,arawa,-6.2132,155.5367,25.7,92,95,1.19,PG,1746364359
408,sechura,-5.5569,-80.8222,21.4,75,100,3.75,PE,1746364360
409,san jose del guaviare,2.5729,-72.6459,22.19,91,83,0.53,CO,1746364127
410,kittila,67.6647,24.8936,1.45,51,75,11.32,FI,1746364362
411,hot springs village,34.6655,-93.01,10.72,82,0,1.46,US,1746364363
412,drayton valley,53.2168,-114.9854,4.68,77,100,5.83,CA,1746364129
413,potosi,-19.5836,-65.7531,9.3,62,78,2.21,BO,1746364365
414,kununurra,-15.7667,128.7333,23.99,83,98,0.0,AU,1746364367
415,long beach,33.767,-118.1892,14.49,86,100,2.57,US,1746364129
416,huitel,20.1639,-99.2733,16.63,85,100,0.27,MX,1746364369
417,novouzensk,50.4592,48.1431,21.73,29,5,6.79,RU,1746364370
418,fortuna,40.5982,-124.1573,5.52,96,0,4.12,US,1746364371
419,touggourt,33.1053,6.058,32.69,23,100,5.05,DZ,1746364372
420,port blair,11.6667,92.75,27.02,94,75,1.03,IN,1746364373
421,revda,56.801,59.9303,10.58,70,100,5.13,RU,1746364374
422,ust-tsilma,65.441,52.1498,2.08,100,100,1.5,RU,1746364375
423,hithadhoo,-0.6,73.0833,29.17,71,98,2.31,MV,1746364376
424,weligama,5.9667,80.4167,28.11,82,1,3.1,LK,1746364378
425,oriximina,-1.7656,-55.8661,28.93,67,5,2.2,BR,1746364379
426,ribeira brava,32.65,-17.0667,18.89,89,100,0.45,PT,1746364380
427,lake charles,30.2131,-93.2044,17.79,74,0,2.06,US,1746364381
428,riva del garda,45.8858,10.8412,21.56,69,100,4.6,IT,1746364382
